name,status,source,delay,valid_days,viol_days,viol_frac,viol_maxpos,viol_long,viol_short,viol_total,max_streak,viol_head252,viol_tail762,clean_suffix_days,first_viol_date,last_viol_date
AlphaFguo20260302LLM136,active,feature,1,2673,0,0.0,0,0,0,0,0,0,0,2673,,
AlphaFguo20260302LLM138,active,feature,1,2673,0,0.0,0,0,0,0,0,0,0,2673,,
AlphaFguo20260302LLM143,active,feature,1,2673,0,0.0,0,0,0,0,0,0,0,2673,,
AlphaFguo20260302LLM144,active,feature,1,2672,0,0.0,0,0,0,0,0,0,0,2672,,
AlphaFguo20260302LLM145,active,feature,1,2673,0,0.0,0,0,0,0,0,0,0,2673,,
AlphaFguo20260302LLM148,active,feature,1,2670,0,0.0,0,0,0,0,0,0,0,2670,,
AlphaFguo20260302LLM150,active,feature,1,2673,0,0.0,0,0,0,0,0,0,0,2673,,
AlphaFguo20260302LLM153,active,feature,1,2673,0,0.0,0,0,0,0,0,0,0,2673,,
AlphaFguo20260302LLM158,active,feature,1,2674,0,0.0,0,0,0,0,0,0,0,2674,,
AlphaFguo20260302LLM159,active,feature,1,2672,0,0.0,0,0,0,0,0,0,0,2672,,
AlphaFguo20260302LLM160,active,feature,1,2673,0,0.0,0,0,0,0,0,0,0,2673,,
AlphaFguo20260302LLM161,active,feature,1,2673,0,0.0,0,0,0,0,0,0,0,2673,,
AlphaFguo20260302LLM162,active,feature,1,2673,0,0.0,0,0,0,0,0,0,0,2673,,
AlphaFguo20260302LLM165,active,feature,1,2672,0,0.0,0,0,0,0,0,0,0,2672,,
AlphaFguo20260302LLM166,active,feature,1,2673,0,0.0,0,0,0,0,0,0,0,2673,,
AlphaFguo20260302LLM169,active,feature,1,2674,0,0.0,0,0,0,0,0,0,0,2674,,
AlphaFguo20260302LLM170,active,feature,1,2672,0,0.0,0,0,0,0,0,0,0,2672,,
AlphaFguo20260303GA001,active,feature,1,2669,0,0.0,0,0,0,0,0,0,0,2669,,
AlphaFguo20260303GA002,active,feature,1,2673,0,0.0,0,0,0,0,0,0,0,2673,,
AlphaFguo20260303GA003,active,feature,1,2670,0,0.0,0,0,0,0,0,0,0,2670,,
AlphaFguo20260303GA004,active,feature,1,2668,0,0.0,0,0,0,0,0,0,0,2668,,
AlphaFguo20260303GA005,active,feature,1,2674,0,0.0,0,0,0,0,0,0,0,2674,,
AlphaFguo20260303GA006,active,feature,1,2670,0,0.0,0,0,0,0,0,0,0,2670,,
AlphaFguo20260303GA007,active,feature,1,2668,0,0.0,0,0,0,0,0,0,0,2668,,
AlphaFguo20260303GA008,active,feature,1,2670,0,0.0,0,0,0,0,0,0,0,2670,,
AlphaFguo20260303GA009,active,feature,1,2674,0,0.0,0,0,0,0,0,0,0,2674,,
AlphaFguo20260303GA010,active,feature,1,2674,0,0.0,0,0,0,0,0,0,0,2674,,
AlphaFguo20260303GA011,active,feature,1,2673,0,0.0,0,0,0,0,0,0,0,2673,,
AlphaFguo20260303GA012,active,feature,1,2674,0,0.0,0,0,0,0,0,0,0,2674,,
AlphaFguo20260303GA013,active,feature,1,2668,0,0.0,0,0,0,0,0,0,0,2668,,
AlphaFguo20260303GA014,active,feature,1,2674,0,0.0,0,0,0,0,0,0,0,2674,,
AlphaFguo20260303GA015,active,feature,1,2673,0,0.0,0,0,0,0,0,0,0,2673,,
AlphaFguo20260303GA016,active,feature,1,2671,0,0.0,0,0,0,0,0,0,0,2671,,
AlphaFguo20260303GA017,active,feature,1,2674,0,0.0,0,0,0,0,0,0,0,2674,,
AlphaFguo20260303GA018,active,feature,1,2670,0,0.0,0,0,0,0,0,0,0,2670,,
AlphaFguo20260303GA019,active,feature,1,2673,0,0.0,0,0,0,0,0,0,0,2673,,
AlphaFguo20260303GA022,active,feature,1,2673,0,0.0,0,0,0,0,0,0,0,2673,,
AlphaFguo20260303GA023,active,feature,1,2672,0,0.0,0,0,0,0,0,0,0,2672,,
AlphaFguo20260303GA024,active,feature,1,2671,0,0.0,0,0,0,0,0,0,0,2671,,
AlphaFguo20260303GA025,active,feature,1,2673,0,0.0,0,0,0,0,0,0,0,2673,,
AlphaFguo20260303GA026,active,feature,1,2670,0,0.0,0,0,0,0,0,0,0,2670,,
AlphaFguo20260303GA027,active,feature,1,2672,0,0.0,0,0,0,0,0,0,0,2672,,
AlphaFguo20260303GA028,active,feature,1,2674,0,0.0,0,0,0,0,0,0,0,2674,,
AlphaFguo20260303GA029,active,feature,1,2667,0,0.0,0,0,0,0,0,0,0,2667,,
AlphaFguo20260303GA030,active,feature,1,2672,0,0.0,0,0,0,0,0,0,0,2672,,
AlphaFguo20260303GA031,active,feature,1,2670,0,0.0,0,0,0,0,0,0,0,2670,,
AlphaFguo20260303GA033,active,feature,1,2673,0,0.0,0,0,0,0,0,0,0,2673,,
AlphaFguo20260303GA036,active,feature,1,2670,0,0.0,0,0,0,0,0,0,0,2670,,
AlphaFguo20260303GA037,active,feature,1,2671,0,0.0,0,0,0,0,0,0,0,2671,,
AlphaFguo20260303GA038,active,feature,1,2673,0,0.0,0,0,0,0,0,0,0,2673,,
AlphaFguo20260303GA039,active,feature,1,2672,0,0.0,0,0,0,0,0,0,0,2672,,
AlphaFguo20260303GA040,active,feature,1,2674,0,0.0,0,0,0,0,0,0,0,2674,,
AlphaFguo20260303GA041,active,feature,1,2672,0,0.0,0,0,0,0,0,0,0,2672,,
AlphaFguo20260303GA042,active,feature,1,2672,0,0.0,0,0,0,0,0,0,0,2672,,
AlphaFguo20260303GA043,active,feature,1,2666,0,0.0,0,0,0,0,0,0,0,2666,,
AlphaFguo20260303GA044,active,feature,1,2670,0,0.0,0,0,0,0,0,0,0,2670,,
AlphaFguo20260303GA045,active,feature,1,2667,0,0.0,0,0,0,0,0,0,0,2667,,
AlphaFguo20260303GA047,active,feature,1,2670,0,0.0,0,0,0,0,0,0,0,2670,,
AlphaFguo20260303GA048,active,feature,1,2673,0,0.0,0,0,0,0,0,0,0,2673,,
AlphaFguo20260303GA049,active,feature,1,2673,0,0.0,0,0,0,0,0,0,0,2673,,
AlphaFguo20260303GA050,active,feature,1,2673,0,0.0,0,0,0,0,0,0,0,2673,,
AlphaFguo20260303GA053,active,feature,1,2669,0,0.0,0,0,0,0,0,0,0,2669,,
AlphaFguo20260303GA054,active,feature,1,2673,0,0.0,0,0,0,0,0,0,0,2673,,
AlphaFguo20260303GA055,active,feature,1,2669,0,0.0,0,0,0,0,0,0,0,2669,,
AlphaFguo20260303GA056,active,feature,1,2673,0,0.0,0,0,0,0,0,0,0,2673,,
AlphaFguo20260303GA058,active,feature,1,2664,0,0.0,0,0,0,0,0,0,0,2664,,
AlphaFguo20260303GA059,active,feature,1,2673,0,0.0,0,0,0,0,0,0,0,2673,,
AlphaFguo20260303GA060,active,feature,1,2672,0,0.0,0,0,0,0,0,0,0,2672,,
AlphaFguo20260303GA063,active,feature,1,2673,0,0.0,0,0,0,0,0,0,0,2673,,
AlphaFguo20260303GA064,active,feature,1,2672,0,0.0,0,0,0,0,0,0,0,2672,,
AlphaFguo20260303GA065,active,feature,1,2670,0,0.0,0,0,0,0,0,0,0,2670,,
AlphaFguo20260303GA066,active,feature,1,2673,0,0.0,0,0,0,0,0,0,0,2673,,
AlphaFguo20260303GA067,active,feature,1,2674,0,0.0,0,0,0,0,0,0,0,2674,,
AlphaFguo20260303GA068,active,feature,1,2674,0,0.0,0,0,0,0,0,0,0,2674,,
