top_dir,sub_dir,field
DmgrPwang_industry_equ_fancy_factors,,t10_static_note_ratio
DmgrPwang_industry_equ_fancy_factors,,t1_corr_vp
DmgrPwang_industry_equ_fancy_factors,,t1_np_ttm_qoq
DmgrPwang_industry_equ_fancy_factors,,t1_ocfa
DmgrPwang_industry_equ_fancy_factors,,t1_sude
DmgrPwang_industry_equ_fancy_factors,,t1_sudrev
DmgrPwang_industry_equ_fancy_factors,,t1_ta_entropy
DmgrPwang_industry_equ_fancy_factors,,t1_udsl_ucl
DmgrPwang_industry_equ_fancy_factors,,t2_ai_np_yoy
DmgrPwang_industry_equ_fancy_factors,,t2_ai_sude
DmgrPwang_industry_equ_fancy_factors,,t2_con_np_yoy
DmgrPwang_industry_equ_fancy_factors,,t2_con_rev_yoy
DmgrPwang_industry_equ_fancy_factors,,t2_con_sude
DmgrPwang_industry_equ_fancy_factors,,t2_con_sudrev
DmgrPwang_industry_equ_fancy_factors,,t2_d_q_stop
DmgrPwang_industry_equ_fancy_factors,,t2_roe_ttm_yoyd
DmgrPwang_industry_equ_fancy_factors,,t3_ast_da12_etop
DmgrPwang_industry_equ_fancy_factors,,t3_ast_profit_uppct
DmgrPwang_industry_equ_fancy_factors,,t3_con_da_pe_60
DmgrPwang_industry_equ_fancy_factors,,t3_con_da_ps_40
DmgrPwang_industry_equ_fancy_factors,,t3_fund_top10_negvalue_pct
DmgrPwang_industry_equ_fancy_factors,,t3_fund_top10_weight_max
DmgrPwang_industry_equ_fancy_factors,,t3_fund_top10_weight_mean
DmgrPwang_industry_equ_fancy_factors,,t3_hk_holdratio_all
DmgrPwang_industry_equ_fancy_factors,,t3_hk_holdratio_b
DmgrPwang_industry_equ_fancy_factors,,t3_hk_holdratio_c
DmgrPwang_industry_equ_fancy_factors,,t3_naive_weight_change_asym
DmgrPwang_industry_equ_fancy_factors,,t4_hk_holdvol_chg_all120
DmgrPwang_industry_equ_fancy_factors,,t4_hk_holdvol_chg_all60
DmgrPwang_industry_equ_fancy_factors,,t4_hk_holdvol_chg_b120
DmgrPwang_industry_equ_fancy_factors,,t4_hk_holdvol_chg_b60
DmgrPwang_industry_equ_fancy_factors,,t4_hk_holdvol_chg_c60
DmgrPwang_industry_equ_fancy_factors,,t4_p_report_date
DmgrPwang_industry_equ_fancy_factors,,t4_p_report_diff
DmgrPwang_industry_equ_fancy_factors,,t5_ai_da_pe_90
DmgrPwang_industry_equ_fancy_factors,,t5_ai_da_ps_60
DmgrPwang_industry_equ_fancy_factors,,t5_ai_da_ps_90
DmgrPwang_industry_equ_fancy_factors,,t5_ast_rpt_sentiment_w
DmgrPwang_industry_equ_fancy_factors,,t5_ast_rpt_sentiment_z180
DmgrPwang_industry_equ_fancy_factors,,t5_ast_rpt_sentiment_z365
DmgrPwang_industry_equ_fancy_factors,,t5_ast_rpt_sentiment_z730
DmgrPwang_industry_equ_fancy_factors,,t5_fmzl_1y_ownparent_sum
DmgrPwang_industry_equ_fancy_factors,,t5_fmzl_1y_relatednum_sum
DmgrPwang_industry_equ_fancy_factors,,t5_fmzl_1y_reviewday_sum
DmgrPwang_industry_equ_fancy_factors,,t6_ff3r2_20
DmgrPwang_industry_equ_fancy_factors,,t6_ff3spmom_20
DmgrPwang_industry_equ_fancy_factors,,t6_ff3sysvol_20
DmgrPwang_industry_equ_fancy_factors,,t6_mintval_mte_20d
DmgrPwang_industry_equ_fancy_factors,,t6_oval_mbsr_20d
DmgrPwang_industry_equ_fancy_factors,,t7_fund_traction_20
DmgrPwang_industry_equ_fancy_factors,,t7_fund_traction_60
DmgrPwang_industry_equ_fancy_factors,,t7_gb_post_num_30
DmgrPwang_industry_equ_fancy_factors,,t7_gb_post_num_60
DmgrPwang_industry_equ_fancy_factors,,t7_gb_post_num_90
DmgrPwang_industry_equ_fancy_factors,,t7_gb_post_num_da30
DmgrPwang_industry_equ_fancy_factors,,t7_np_q_acc
DmgrPwang_industry_equ_fancy_factors,,t7_profit_trend
DmgrPwang_industry_equ_fancy_factors,,t7_rev_q_acc
DmgrPwang_industry_equ_fancy_factors,,t7_sur_event
DmgrPwang_industry_equ_fancy_factors,,t8_ai_dtop_da90
DmgrPwang_industry_equ_fancy_factors,,t8_cfp_ttm_std
DmgrPwang_industry_equ_fancy_factors,,t8_con_dtop_da30
DmgrPwang_industry_equ_fancy_factors,,t8_con_dtop_da90
DmgrPwang_industry_equ_fancy_factors,,t8_con_dtop_z180
DmgrPwang_industry_equ_fancy_factors,,t8_governance
DmgrPwang_industry_equ_fancy_factors,,t8_growth_qqc
DmgrPwang_industry_equ_fancy_factors,,t9_gpost_hot
DmgrPwang_industry_equ_fancy_factors,,t9_gpost_neg_pct_vol
DmgrPwang_industry_equ_fancy_factors,,t9_gpost_pos_pct_vol
DmgrPwang_industry_equ_fancy_factors,,t9_gtra_buy_pct_vol
DmgrPwang_industry_equ_fancy_factors,,t9_gtra_sell_pct_vol
